model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
Samsung Galaxy S25 Plus (Variant 1),Samsung,12,512,4499,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 4900 mAh battery45W wired, PD3.0, 65% in 30 min
15W wireless (Qi2)
4.5W reverse wireless",4900.0,6144
Samsung Galaxy S25,Samsung,12,256,3399,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 4000 mAh battery25W wired, PD3.0, 50% in 30 min
15W wireless (Qi2)
4.5W reverse wireless",4000.0,3072
Samsung Galaxy S25 (Variant 1),Samsung,12,512,3788,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 4000 mAh battery25W wired, PD3.0, 50% in 30 min
15W wireless (Qi2)
4.5W reverse wireless",4000.0,6144
nubia Flip 2,nubia,8,256,1599,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300X (4 nm),"4325 mAh battery33W wired, PD3.0, PPS, QC4+",4325.0,2048
Redmi Note 14 Pro Plus 5G,Redmi,12,256,1199,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),5110 mAh battery120W wired,5110.0,3072
Redmi Note 14 Pro Plus 5G (Variant 1),Redmi,12,512,1520,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),5110 mAh battery120W wired,5110.0,6144
Redmi Note 14 Pro 5G,Redmi,12,256,1000,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultra (4 nm),"5110 mAh battery45W wired, PD",5110.0,3072
Redmi Note 14 Pro 5G (Variant 1),Redmi,12,256,1000,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultra (4 nm),"5110 mAh battery45W wired, PD",5110.0,3072
Redmi Note 14 5G,Redmi,8,256,689,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),5110 mAh battery45W wired,5110.0,2048
Redmi Note 14 5G (Variant 1),Redmi,8,256,689,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),5110 mAh battery45W wired,5110.0,2048
Redmi Note 14,Redmi,8,256,682,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 Ultra (6 nm),5500 mAh battery33W wired,5500.0,2048
Poco X7 Pro,Poco,12,256,1299,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,Mediatek Dimensity 8400 Ultra (4 nm),"Si/C 6000 mAhSi/C 6550 mAh - India only version battery90W wired, PD3.0, QC3+, 100% in 42 min
Reverse wired",6000.0,3072
Poco X7 Pro (Variant 1),Poco,12,256,1299,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,Mediatek Dimensity 8400 Ultra (4 nm),"Si/C 6000 mAhSi/C 6550 mAh - India only version battery90W wired, PD3.0, QC3+, 100% in 42 min
Reverse wired",6000.0,3072
Poco X7 Pro (Variant 2),Poco,12,512,1599,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,Mediatek Dimensity 8400 Ultra (4 nm),"Si/C 6000 mAhSi/C 6550 mAh - India only version battery90W wired, PD3.0, QC3+, 100% in 42 min
Reverse wired",6000.0,6144
Honor Magic 7 RSR Porsche Design,Honor,24,1024,6999,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 5850 mAh battery100W wired
80W wireless
Reverse wireless
5W reverse wired",5850.0,24576
Honor Magic 7 Pro,Honor,12,512,4140,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 5850 mAh battery100W wired
80W wireless
Reverse wireless
5W reverse wired",5850.0,6144
Honor Magic 7 Pro (Variant 1),Honor,16,1024,5169,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 5850 mAh battery100W wired
80W wireless
Reverse wireless
5W reverse wired",5850.0,16384
nubia Music 2,nubia,4,128,388,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7200 (12 nm),5000 mAh battery10W wired,5000.0,512
Realme Note 60x,Realme,4,64,369,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),5000 mAh battery10W wired,5000.0,256
OnePlus 13,OnePlus,16,512,4299,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6000 mAh battery100W wired, PD, QC, 50% in 13 min, 100% in 36 min
50W wireless
10W reverse wireless
5W reverse wired",6000.0,8192
Oppo Reno 13 F,Oppo,8,256,1399,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5800 mAh battery45W wired, PD, QC, PPS, 44% in 30 min
Reverse wired",5800.0,2048
Oppo Reno 13 F (Variant 1),Oppo,12,256,1499,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5800 mAh battery45W wired, PD, QC, PPS, 44% in 30 min
Reverse wired",5800.0,3072
Oppo Reno 13 F (Variant 2),Oppo,12,512,1799,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"5800 mAh battery45W wired, PD, QC, PPS, 44% in 30 min
Reverse wired",5800.0,6144
Oppo Reno 13 Pro,Oppo,12,512,2842,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 (4 nm),"5800 mAh battery80W wired, PD 13.5W, UFCS 33W, PPS 33W
50W wireless
Reverse wired",5800.0,6144
Oppo Reno 13,Oppo,12,256,2099,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 (4 nm),"5600 mAh battery80W wired, PD 13.5W, UFCS 33W, PPS 33W
Reverse wired",5600.0,3072
Oppo Reno 13 (Variant 1),Oppo,12,512,2470,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 (4 nm),"5600 mAh battery80W wired, PD 13.5W, UFCS 33W, PPS 33W
Reverse wired",5600.0,6144
Huawei nova 13i,Huawei,12,256,1119,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm Snapdragon 680 4G (6 nm),"Li-Po 5000 mAh battery40W wired, 3-62% in 30 min",5000.0,3072
Poco X7,Poco,8,256,1116,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultra (4 nm),"5110 mAh5500 mAh - India only version battery45W wired, 100% in 52 min",5110.0,2048
Poco X7 (Variant 1),Poco,12,512,1145,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultra (4 nm),"5110 mAh5500 mAh - India only version battery45W wired, 100% in 52 min",5110.0,6144
Redmi 14C 5G,Redmi,8,256,390,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"5160 mAh battery18W wired, PD",5160.0,2048
OnePlus Ace 5 Pro,OnePlus,16,512,1950,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6100 mAh battery100W wired, 33W PPS, 18W PD/QC, 55% in 15 min, 100% in 35 min (advertised)",6100.0,8192
Redmi Turbo 4,Redmi,12,12,1546,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),G720 MC7,Mediatek Dimensity 8400 Ultra (4 nm),"Si/C 6550 mAh battery90W wired, PD3.0, QC3+, 100% in 45 min",6550.0,144
Huawei nova 13 Pro,Huawei,12,512,2119,"12GB RAM, 512GB ROM",HarmonyOS 4.2,No,Aluminosilicate glass,,6144
Huawei nova 13,Huawei,12,256,1599,"12GB RAM, 256GB ROM",HarmonyOS 4.2,No,Aluminosilicate glass,,3072
Huawei Mate X6,Huawei,12,512,7208,Octa-core (1x2.5 GHz Taishan Big & 3x2.15 GHz Taishan Mid & 4x1.53GHz Cortex-A510),Maleoon 920,Kirin 9020,"Si/C 5110 or 5200 mAh battery66W wired
50W wireless
7.5W reverse wireless
5W reverse wired",5200.0,6144
Poco C75 5G,Poco,6,128,377,Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),Adreno,Qualcomm SM4635 Snapdragon 4s Gen 2 (4 nm),Li-Po 5160 mAh battery18W wired,5160.0,768
Samsung Galaxy A16,Samsung,4,128,6599,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G99 (6 nm),5000 mAh battery25W wired,5000.0,512
realme C75,realme,8,256,659,Octa-core 2.0 GHz,"8GB RAM, 256GB ROM",Mediatek Helio G92 Max,"6.72 inches, 109.0 cm2 (~86.3% screen-to-body ratio)1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,2048
ASUS ROG Phone 9 Pro,Asus,16,512,4849,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"5800 mAh, non-removable battery65W wired, PD3.0, PPS, QC5, 100% in 46 min (advertised)
15W wireless (Qi)
10W reverse wired",5800.0,8192
ASUS ROG Phone 9 Pro (Variant 1),Asus,24,1024,5089,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"5800 mAh, non-removable battery65W wired, PD3.0, PPS, QC5, 100% in 46 min (advertised)
15W wireless (Qi)
10W reverse wired",5800.0,24576
Asus ROG Phone 9,Asus,12,256,3999,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"5800 mAh, non-removable battery65W wired, PD3.0, PPS, QC5, 100% in 46 min (advertised)
15W wireless (Qi)
10W reverse wired",5800.0,3072
nubia RedMagic 10 Pro,nubia,12,256,3199,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6500 mAh, non-removable battery80W wired",6500.0,3072
nubia RedMagic 10 Pro (Variant 1),nubia,16,512,4699,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 7050 mAh, non-removableSi/C 6500 mAh, non-removable - China only version battery100W wired
80W wired - China only version",7050.0,8192
HONOR X9c Smart,HONOR,8,256,839,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),"Li-Po 5800 mAh, non-removable battery35W wired
5W reverse wired",5800.0,2048
Infinix Hot 50 4G,Infinix,6,256,477,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 (6 nm),"5000 mAh, non-removable battery18W wired
Reverse wired
Bypass charging",5000.0,1536
iQOO 13,iQOO,12,256,2550,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6150 mAh, non-removable6000 mAh, non-removable - India only battery120W wired, PPS, 100% in 30 min (advertised)",6150.0,3072
iQOO 13 (Variant 1),iQOO,16,512,3599,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6150 mAh, non-removable6000 mAh, non-removable - India only battery120W wired, PPS, 100% in 30 min (advertised)",6150.0,8192
iQOO Neo 10 Pro,iQOO,12,12,1530,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,Mediatek Dimensity 9400 (3 nm),"Si/C 6100 mAh, non-removable battery120W wired, 100W PPS+PD, 50% in 15 min (advertised)
Reverse wired",6100.0,144
Meizu mblu 21,Meizu,4,64,399,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"4900 mAh, non-removable battery",4900.0,256
HMD 105,HMD,0,0,109,4 MB 4 MB RAM,RTOS OS,microSDHC,115.5   x   49.5   x   14  mm,,0
vivo S20,vivo,8,12,1750,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C 6500 mAh, non-removable battery90W wired, PD
Reverse wired",6500.0,96
Realme Note 60,Realme,12,128,397,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),"5000 mAh, non-removable battery10W wired",5000.0,1536
nubia Z70 Ultra,nubia,12,256,3449,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6150 mAh, non-removable battery80W wired, PD3.0, QC4",6150.0,3072
Oppo Find X8 Pro,Oppo,16,512,4989,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,Mediatek Dimensity 9400 (3 nm),"Si/C 5910 mAh, non-removable battery80W wired, PD, PPS, UFCS
50W wireless 
10W reverse wireless",5910.0,8192
Oppo Find X8,Oppo,16,512,3698,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,Mediatek Dimensity 9400 (3 nm),"Si/C 5630 mAh, non-removable battery80W wired, PD, PPS, UFCS
50W wireless
10W reverse wireless",5630.0,8192
vivo X200 Pro,vivo,16,512,4241,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,Mediatek Dimensity 9400 (3 nm),"Si/C 6000 mAh, non-removable battery90W wired
30W wireless
Reverse wired",6000.0,8192
vivo X200,vivo,16,512,3334,Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,Mediatek Dimensity 9400 (3 nm),"Si/C 5800 mAh, non-removable battery90W wired
Reverse wired",5800.0,8192
Realme GT 7 Pro,Realme,12,512,3699,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6500 mAh, non-removable - International5800 mAh, non-removable - India only battery120W wired, 13 min to 50%, 37 min to 100% (advertised) - International",6500.0,6144
Samsung Galaxy A16 5G,Samsung,8,256,729,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"5000 mAh, non-removable battery25W wired",5000.0,2048
POCO C75,POCO,6,128,356,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81 Ultra (12 nm),"5160 mAh, non-removable battery18W wired, PD",5160.0,768
POCO C75 (Variant 1),POCO,8,256,369,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81 Ultra (12 nm),"5160 mAh, non-removable battery18W wired, PD",5160.0,2048
HONOR X7c,HONOR,8,256,625,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"Li-Po 5200/6000 mAh (market/region dependent), non-removable battery35W wired",6000.0,2048
HONOR X9c,HONOR,12,256,1099,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"Si/C 6600 mAh, non-removable battery66W wired
Reverse wired",6600.0,3072
HONOR X9c (Variant 1),HONOR,12,512,1489,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"Si/C 6600 mAh, non-removable battery66W wired
Reverse wired",6600.0,6144
Xiaomi 15 Pro,Xiaomi,12,16,2000,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C 6100 mAh, non-removable battery90W wired, PD3.0, QC3+
50W wireless
10W reverse wireless",6100.0,192
TECNO Megapad,TECNO,4,4,699,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G80 (12 nm),"7000 mAh, non-removable battery18W wired",7000.0,16
vivo V40 Lite,vivo,12,256,999,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"Li-Ion 5000 mAh, non-removable battery80W wired, 80% in 30 min (advertised)
Reverse wired",5000.0,3072
vivo V40 Lite (Variant 1),vivo,12,512,1097,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"Li-Ion 5000 mAh, non-removable battery80W wired, 80% in 30 min (advertised)
Reverse wired",5000.0,6144
Realme 13 Plus,Realme,12,14,1399,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Energy (4 nm),"5000 mAh, non-removable battery80W wired, 50% in 19 min (advertised)",5000.0,168
Realme 13 Plus (Variant 1),Realme,12,14,1799,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Energy (4 nm),"5000 mAh, non-removable battery80W wired, 50% in 19 min (advertised)",5000.0,168
vivo Y19s,vivo,4,64,444,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,Unisoc Tiger T612 (12 nm),"Li-Ion 5500 mAh, non-removable battery15W wired
Reverse wired",5500.0,256
TECNO Camon 30S,TECNO,8,128,749,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 (6 nm),"5000 mAh, non-removable battery33W wired, 0-100% in 45 min (advertised)",5000.0,1024
TECNO Camon 30S (Variant 1),TECNO,8,256,798,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 (6 nm),"5000 mAh, non-removable battery33W wired, 0-100% in 45 min (advertised)",5000.0,2048
Infinix HOT 50,Infinix,8,256,499,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Li-Po 5000 mAh, non-removable battery18W wired
Reverse wired",5000.0,2048
TECNO Spark 30 5G,TECNO,6,8,544,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"5000 mAh, non-removable battery18W wired",5000.0,48
ZTE Blade A75 4G,ZTE,12,256,629,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"5000 mAh, non-removable battery22.5W wired",5000.0,3072
Infinix Zero Flip,Infinix,16,512,2999,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,Mediatek Dimensity 8020 (6 nm),"4720 mAh, non-removable battery70W wired
10W reverse wired",4720.0,8192
HMD Fusion,HMD,8,256,1099,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 613,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"5000 mAh, user replaceable battery33W wired, PD, QC",5000.0,2048
Infinix HOT 50i,Infinix,4,256,349,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81,"5000Mah, 18W Charging, TYPE-C",,1024
Infinix HOT 50i (Variant 1),Infinix,4,256,349,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81,"5000Mah, 18W Charging, TYPE-C",,1024
Xiaomi Mix Flip,Xiaomi,12,512,4969,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"4780 mAh, non-removable battery67W wired",4780.0,6144
Xiaomi 14T,Xiaomi,12,256,1699,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8300 Ultra (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, 100% in 45 min (advertised)",5000.0,3072
Xiaomi 14T (Variant 1),Xiaomi,12,512,1999,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8300 Ultra (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, 100% in 45 min (advertised)",5000.0,6144
Xiaomi 14T Pro,Xiaomi,12,1024,2399,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)
50W wireless, 100% in 45 min (advertised)",5000.0,12288
Xiaomi 14T Pro (Variant 1),Xiaomi,12,512,2399,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)
50W wireless, 100% in 45 min (advertised)",5000.0,6144
Xiaomi 14T Pro (Variant 2),Xiaomi,12,1024,2399,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300+ (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)
50W wireless, 100% in 45 min (advertised)",5000.0,12288
Infinix SMART 9,Infinix,3,64,299,Octa-core (2 x 2.0 GHz Cortex-A75  & x 1.7 GHz Cortex-A55),G52 MC2 820MHz,MediaTek Helio G81,"5000mAh (typ) ,10W*, 5V/2A, TYPE-C",5000.0,192
Samsung Galaxy S24 FE,Samsung,8,256,2303,Deca-core (1x3.2 GHz Cortex-X4 & 2x2.90 GHz Cortex-A720 & 3x2.60 GHz Cortex-A720 & 4x2.0GHz Cortex-A520),Xclipse 940,Exynos 2400 (4 nm),"4700 mAh, non-removable battery25W wired, PD, QC2, 50% in 30 min
15W wireless
Reverse wireless",4700.0,2048
Samsung Galaxy S24 FE (Variant 1),Samsung,8,512,2759,Deca-core (1x3.2 GHz Cortex-X4 & 2x2.90 GHz Cortex-A720 & 3x2.60 GHz Cortex-A720 & 4x2.0GHz Cortex-A520),Xclipse 940,Exynos 2400 (4 nm),"4700 mAh, non-removable battery25W wired, PD, QC2, 50% in 30 min
15W wireless
Reverse wireless",4700.0,4096
iQOO Z9 Turbo Plus,iQOO,12,12,1108,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9300+ (4 nm),"Si/C 6400 mAh, non-removable battery80W wired
7.5W reverse wired",6400.0,144
TECNO Spark 30,TECNO,4,4,585,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G91 (12 nm),"5000 mAh, non-removable battery18W wired",5000.0,16
Realme 13 Pro Plus,Realme,12,512,1899,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"5200 mAh, non-removable battery80W wired, 50% in 19 min, 100% in 49 min (advertised)",5200.0,6144
